CASE,TOTAL,PASS,FAIL,SKIP
Hypervisor_CSR,129,101,2,26
Hypervisor_Interrupts,41,38,0,3
Hypervisor_Exceptions,129,123,0,6
Sha,28,28,0,0
Shcounterenw,22,18,0,4
Shgatpa,21,21,0,0
Shlcofideleg,14,1,0,13
Shtvala,50,46,2,2
Shvstvala,22,20,0,2
Shvsatpa,19,19,0,0
Sv39x4,55,55,0,0
Sv48x4,57,57,0,0
Sv57x4,57,57,0,0
Sv39x4_Sv39,161,161,0,0
Sv39x4_Sv48,164,164,0,0
Sv39x4_Sv57,167,167,0,0
Sv48x4_Sv39,164,164,0,0
Sv48x4_Sv48,168,168,0,0
Sv48x4_Sv57,172,172,0,0
Sv57x4_Sv39,167,167,0,0
Sv57x4_Sv48,172,172,0,0
Sv57x4_Sv57,177,177,0,0
Hypervisor_Smcntrpmf,7,4,2,1
Hypervisor_Smcsrind,11,11,0,0
Hypervisor_Smmpm,5,5,0,0
Hypervisor_Smnpm,6,6,0,0
Hypervisor_Smstateen,14,9,0,5
Hypervisor_Ssccptr,4,3,0,1
Hypervisor_Sscsrind,33,22,0,11
Hypervisor_Ssdbltrp,24,11,0,13
Hypervisor_Ssnpm,48,47,0,1
Hypervisor_Ssqosid,6,6,0,0
Hypervisor_Ssstateen,50,36,4,10
Hypervisor_Sstc,0,0,0,0
Hypervisor_Sstvala,8,8,0,0
Hypervisor_Svadu,7,7,0,0
Hypervisor_Svinval,15,15,0,0
Hypervisor_Svnapot,3,3,0,0
Hypervisor_Svpbmt,4,4,0,0
Hypervisor_Zicbom,40,38,0,2
Hypervisor_Zicbop,8,8,0,0
Hypervisor_Zicboz,15,14,0,1
Hypervisor_Zicfilp,44,43,0,1
Hypervisor_Zicfiss,75,74,0,1
Hypervisor_Zkr,18,18,0,0
Ss_CSR,75,55,0,20
Ss_Exceptions,50,41,0,9
Ss_Interrupts,0,0,0,0
Ssccfg,19,0,0,19
Ssccptr,0,0,0,0
Sscofpmf,42,1,0,41
Sscounterenw,0,0,0,0
Sscsrind,14,14,0,0
Ssctr,0,0,0,0
Ssdbltrp,33,17,0,16
Ssstateen,42,28,0,14
Sstc,0,0,0,0
Sstvala,0,0,0,0
Sstvecd,0,0,0,0
Ssu64xl,0,0,0,0
Sv39,50,50,0,0
Sv48,50,50,0,0
Sv57,49,49,0,0
Svbare,32,32,0,0
Svade,33,33,0,0
Svadu,30,30,0,0
Svnapot,53,53,0,0
Svinval,37,37,0,0
Svpbmt,49,46,0,3
Svvptc,15,13,0,2
Svrsw60t59b,0,0,0,0
Sm_CSR,224,172,7,45
Sm_Exceptions,100,88,1,11
Sm_Interrupts,0,0,0,0
Smcdeleg,26,0,0,26
Smcntrpmf,0,0,0,0
Smcsrind,31,30,0,1
Smctr,0,0,0,0
Smdbltrp,38,12,0,26
Smstateen,47,33,1,13
pmp,74,74,0,0
pmp_sv39,96,96,0,0
pmp_sv48,110,110,0,0
pmp_sv57,124,124,0,0
cfi.Zicfilp,13,13,0,0
cfi.Zicfiss,12,12,0,0
zpm.Smmpm,21,19,2,0
zpm.Smnpm,25,25,0,0
zpm.Ssnpm,24,24,0,0
cmo.base,17,17,0,0
cmo.Zicbom,26,26,0,0
cmo.Zicbop,8,8,0,0
cmo.Zicboz,12,12,0,0
Zkr,55,55,0,0
Zicntr,32,30,0,2
Zicond,39,38,0,1
Zicsr,54,52,0,2
Zifencei,20,19,0,1
Zihintntl,55,52,0,3
Zihintpause,17,16,0,1
Zihpm,34,26,0,8
Zimop,32,30,0,2
Zcmop,23,21,0,2
Zcmp,51,49,1,1
Zcmt,49,45,1,3
